날짜,"01
프린터앞","02
프린터위","03
부스내부","04
부스외부"
01-21 4:58,-5.5,-2.7,-6.2,-9
01-21 4:59,-5.5,-2.5,-6.2,-9
01-21 5:00,-5.5,-2.2,-6.2,-9
01-21 5:01,-5.6,-2,-6.2,-8.9
01-21 5:02,-5.6,-1.7,-6.1,-8.9
01-21 5:03,-5.6,-1.4,-6.2,-8.9
01-21 5:04,-5.6,-1.2,-6.1,-8.9
01-21 5:05,-5.6,-0.9,-6.2,-8.9
01-21 5:06,-5.6,-0.7,-6.1,-8.8
01-21 5:07,-5.7,-0.5,-6.1,-8.8
01-21 5:08,-5.7,-0.3,-6.1,-8.8
01-21 5:09,-5.7,-0.2,-6.1,-8.7
01-21 5:10,-5.7,0,-6.1,-8.7
01-21 5:11,-5.7,0.1,-6.1,-8.7
01-21 5:12,-5.8,0.2,-6,-8.7
01-21 5:13,-5.8,0.3,-6,-8.6
01-21 5:14,-5.8,0.4,-6,-8.6
01-21 5:15,-5.8,0.6,-6,-8.6
01-21 5:16,-5.8,0.6,-6,-8.6
01-21 5:17,-5.8,0.8,-6,-8.6
01-21 5:18,-5.9,0.9,-6,-8.6
01-21 5:19,-5.8,1,-5.9,-8.6
01-21 5:20,-5.8,1,-5.9,-8.7
01-21 5:21,-5.8,1.1,-5.9,-8.7
01-21 5:22,-5.9,1.2,-5.9,-8.6
01-21 5:23,-5.9,1.2,-5.9,-8.6
01-21 5:24,-5.9,1.3,-5.9,-8.6
01-21 5:25,-5.9,1.4,-5.9,-8.6
01-21 5:26,-5.9,1.5,-5.8,-8.5
01-21 5:27,-5.9,1.5,-5.8,-8.5
01-21 5:28,-5.9,1.6,-5.8,-8.6
01-21 5:29,-6,1.6,-5.8,-8.5
01-21 5:30,-6,1.6,-5.8,-8.5
01-21 5:31,-6,1.6,-5.8,-8.5
01-21 5:32,-6,1.6,-5.8,-8.5
01-21 5:33,-6,1.7,-5.8,-8.4
01-21 5:34,-6,1.6,-5.8,-8.4
01-21 5:35,-6.1,1.6,-5.7,-8.4
01-21 5:36,-6.1,1.6,-5.7,-8.4
01-21 5:37,-6,1.6,-5.7,-8.4
01-21 5:38,-6.1,1.6,-5.7,-8.4
01-21 5:39,-6.1,1.7,-5.7,-8.3
01-21 5:40,-6.1,1.7,-5.7,-8.3
01-21 5:41,-6.1,1.7,-5.7,-8.3
01-21 5:42,-6.1,1.8,-5.7,-8.3
01-21 5:43,-6.1,1.8,-5.6,-8.2
01-21 5:44,-6.1,1.8,-5.7,-8.2
01-21 5:45,-6.1,1.8,-5.6,-8.2
01-21 5:46,-6.1,1.9,-5.6,-8.2
01-21 5:47,-6.1,1.9,-5.6,-8.2
01-21 5:48,-6.1,2,-5.6,-8.2
01-21 5:49,-6.1,1.9,-5.6,-8.1
01-21 5:50,-6.1,1.9,-5.5,-8.1
01-21 5:51,-6.1,1.9,-5.5,-8.2
01-21 5:52,-6.1,2,-5.5,-8.2
01-21 5:53,-6.1,2.1,-5.5,-8.2
01-21 5:54,-6.1,2.2,-5.5,-8.2
01-21 5:55,-6.1,2.3,-5.5,-8.2
01-21 5:56,-6.1,2.2,-5.4,-8.2
01-21 5:57,-6.1,2.3,-5.4,-8.1
01-21 5:58,-6.1,2.3,-5.4,-8.1
01-21 5:59,-6.2,2.4,-5.4,-8.1
01-21 6:00,-6.1,2.4,-5.4,-8.1
01-21 6:01,-6.2,2.5,-5.4,-8.2
01-21 6:02,-6.2,2.5,-5.4,-8.2
01-21 6:03,-6.2,2.6,-5.4,-8.1
01-21 6:04,-6.2,2.7,-5.4,-8.1
01-21 6:05,-6.2,2.7,-5.4,-8.1
